source,target,description,strength
MOLDTRANS-TUR,PRIMĂRIA MUNICIPIULUI CHIȘINĂU,MoldTrans-Tur sued the Chișinău City Hall in administrative litigation.,8
AUTOGARA INTERNAȚIONALĂ CHIȘINĂU,PRIMĂRIA MUNICIPIULUI CHIȘINĂU,Autogara Internațională Chișinău co-sued the City Hall in the same matter.,8
MOLDTRANS-TUR,CONSILIUL MUNICIPAL CHIȘINĂU,MoldTrans-Tur sued the Municipal Council seeking annulment of unfavorable acts and an obligation to issue a favorable act.,8
AUTOGARA INTERNAȚIONALĂ CHIȘINĂU,CONSILIUL MUNICIPAL CHIȘINĂU,Autogara co-sued the Municipal Council in the administrative litigation.,8
ASOCIAȚIA DE COPROPRIETARI ÎN CONDOMINIU NR. 55/319,MOLDTRANS-TUR,The homeowners’ association participated as a third party in the case involving MoldTrans-Tur.,5
CURTEA DE APEL CHIȘINĂU,HOTĂRÂREA 6 AUGUST 2018 (JUDECĂTORIA CHIȘINĂU – BUIUCANI),The Court of Appeal upheld the 2018 Buiucani judgment (decision of 7 Feb 2019).,7
CURTEA SUPREMĂ DE JUSTIȚIE,DECIZIA 7 FEBRUARIE 2019 (CURTEA DE APEL CHIȘINĂU),The Supreme Court quashed the 7 Feb 2019 appellate decision (decision of 20 Nov 2019).,9
CURTEA SUPREMĂ DE JUSTIȚIE,HOTĂRÂREA 6 AUGUST 2018 (JUDECĂTORIA CHIȘINĂU – BUIUCANI),The Supreme Court quashed the 6 Aug 2018 first-instance judgment (decision of 20 Nov 2019).,9
CURTEA SUPREMĂ DE JUSTIȚIE,"JUDECĂTORIA CHIȘINĂU, SEDIUL RÂȘCANI",The Supreme Court remanded the case for re-trial to the Chișinău Court (Râșcani seat).,8
MOLDTRANS-TUR,CURTEA SUPREMĂ DE JUSTIȚIE,MoldTrans-Tur filed a recourse and an acceleration request; the Supreme Court scheduled an admissibility hearing and later denied the acceleration request.,7
DIANA STĂNILĂ,CURTEA SUPREMĂ DE JUSTIȚIE,Judge Diana Stănilă is a member of the Supreme Court; her heavy docket of CSM/CSP cases influences scheduling.,6
VITALII CIUMAC,"JUDECĂTORIA CHIȘINĂU, SEDIUL RÂȘCANI",Judge Vitalii Ciumac presided over connected cases (including case no. 3-4645/2019).,6
CURTEA SUPREMĂ DE JUSTIȚIE,ART. 6 §1 CEDO,The Supreme Court invoked Article 6(1) ECHR on reasonable time to assess the case’s duration.,6
CODUL ADMINISTRATIV,CONTENCIOS ADMINISTRATIV (PROCEEDINGS),The Administrative Code governs administrative court proceedings.,7
CODUL DE PROCEDURĂ CIVILĂ,CONTENCIOS ADMINISTRATIV (PROCEEDINGS),The Civil Procedure Code applies supplementarily in administrative litigation.,7
MITROPOLIA BASARABIEI,CURTEA DE APEL CHIȘINĂU,"In the separate church-property case, the Court of Appeal (Dec 2017) admitted the Metropolis’s appeal (regarding a 2003 contract).",5
MITROPOLIA BASARABIEI,CURTEA SUPREMĂ DE JUSTIȚIE,"In the same case, the Supreme Court (Jan 2017) admitted the Metropolis’s recourse and ordered a re-trial.",5
